,Names,Transcript,Confidence
0,english-batter-barter.mp3,"The batter is ready to swing on the next pitch, do not barter with the lady in front of target.",0.9065909090909092
1,english-beat-bit.mp3,"The beat is a bit off, but I'm sure with enough practice it will be on beat.",0.8927368421052632
2,english-crazy-glue-sticky.mp3,The crazy glue is extremely sticky.,0.7654285714285715
3,english-croissant.mp3,Alexa Where did I leave my Khorasan?,0.767625
4,english-look-luke.mp3,Look at the clouds luke.,0.7996666666666666
5,english-nearby-target.mp3,Alexa Where's the nearest target?,0.7793333333333333
6,english-note-not.mp3,I am leaving you a note do not forget.,0.8960000000000001
7,english-roll-row.mp3,The role is in the last row.,0.85975
8,english-sheep-ship.mp3,There is a sheep on the ship.,0.846
9,english-th-sounds.mp3,The thought of that instance occurring throttles my brain.,0.9
10,english-vine-wine.mp3,The grapes from the vine will turn into wine.,0.8995000000000001
11,french-batter-barter.mp3,"The batter is ready to swing on the next pitch, do not barter with the lady in front of target.",0.8705454545454546
12,french-beat-bit.mp3,"The bit is a bit of bedtime stories, enough practice, it will be a bit.",0.7247777777777779
13,french-crazy-glue-sticky.mp3,The crazy glue is extremely sticky.,0.7445714285714286
14,french-croissant.mp3,Alexa Where did I leave My Question?,0.8069999999999999
15,french-look-luke.mp3,Look at the clouds look.,0.798
16,french-nearby-target.mp3,Alexa Where is the nearest target?,0.8527142857142856
17,french-note-not.mp3,I am leaving You are not do not forget.,0.8378
18,french-roll-row.mp3,The religions.,0.6286666666666667
19,french-sheep-ship.mp3,There is a ship.,0.7664
20,french-th-sounds.mp3,"Hello there, the sort of that is still secure total my brain.",0.6867142857142857
21,french-vine-wine.mp3,The grapes from the vine a wheel turn into wine.,0.8089999999999999
22,hindi-batter-barter.mp3,The batter is ready to swing on the next pitch. Do not batter with the lady in front of target.,0.9052727272727273
23,hindi-beat-bit.mp3,"The beat is a bit off, but I'm sure with enough practice it will be on beat.",0.8911052631578947
24,hindi-crazy-glue-sticky.mp3,The crazy glue is extremely sticky.,0.761
25,hindi-croissant.mp3,Alexa Where did I Leave My Quest on?,0.8292222222222222
26,hindi-look-luke.mp3,Look at the clouds luke.,0.7416666666666667
27,hindi-nearby-target.mp3,Alexa Where is the nearest target?,0.8557142857142858
28,hindi-note-not.mp3,I am leaving you a note do not forget.,0.8924
29,hindi-roll-row.mp3,The role is in the last row.,0.838
30,hindi-sheep-ship.mp3,There is a ship on the ship.,0.8691249999999999
31,hindi-th-sounds.mp3,The thought of that instance occurring throttles my brain.,0.9
32,hindi-vine-wine.mp3,The grapes on the vine will later turn into wine.,0.907
33,spanish-batter-barter.mp3,The batteries ready to swing on the next speech do not barter with the lady in front of target.,0.8226000000000001
34,spanish-beat-bit.mp3,"David is a bit of buddha Ems work with enough practice, it will be on wind.",0.7775000000000001
35,spanish-crazy-glue-sticky.mp3,The crazy glue is extremely sticky.,0.7844285714285714
36,spanish-croissant.mp3,Alexa Where did I leave My Krosen?,0.831625
37,spanish-look-luke.mp3,Look at the clouds look.,0.7931666666666667
38,spanish-nearby-target.mp3,Alexa Where is the nearest target?,0.8451428571428572
39,spanish-note-not.mp3,I am leaving you a note do not forget.,0.8997999999999999
40,spanish-roll-row.mp3,The role is in the last row.,0.810875
41,spanish-sheep-ship.mp3,There is a ship on the ship.,0.813625
42,spanish-th-sounds.mp3,The sort of that instance of caring fruitless my brain.,0.834090909090909
43,spanish-vine-wine.mp3,The group is from the vinegar will turn into wine.,0.8301818181818181
